Datetime,Consumption_MW
2016-01-01 00:00:00,1793
2016-01-01 01:00:00,1741
2016-01-01 02:00:00,1694
2016-01-01 03:00:00,1659
2016-01-01 04:00:00,1630
2016-01-01 05:00:00,1643
2016-01-01 06:00:00,1677
2016-01-01 07:00:00,1719
2016-01-01 08:00:00,1780
2016-01-01 09:00:00,1793
2016-01-01 10:00:00,1854
2016-01-01 11:00:00,1883
2016-01-01 12:00:00,1906
2016-01-01 13:00:00,1904
2016-01-01 14:00:00,1890
2016-01-01 15:00:00,1886
2016-01-01 16:00:00,1890
2016-01-01 17:00:00,1924
2016-01-01 18:00:00,2039
2016-01-01 19:00:00,2079
2016-01-01 20:00:00,2058
2016-01-01 21:00:00,2029
2016-01-01 22:00:00,1982
2016-01-01 23:00:00,1910
2016-01-02 00:00:00,1846
2016-01-02 01:00:00,1786
2016-01-02 02:00:00,1737
2016-01-02 03:00:00,1713
2016-01-02 04:00:00,1706
2016-01-02 05:00:00,1727
2016-01-02 06:00:00,1771
2016-01-02 07:00:00,1843
2016-01-02 08:00:00,1934
2016-01-02 09:00:00,1951
2016-01-02 10:00:00,1975
2016-01-02 11:00:00,1988
2016-01-02 12:00:00,1947
2016-01-02 13:00:00,1918
2016-01-02 14:00:00,1855
2016-01-02 15:00:00,1807
2016-01-02 16:00:00,1780
2016-01-02 17:00:00,1791
2016-01-02 18:00:00,1924
2016-01-02 19:00:00,2012
2016-01-02 20:00:00,1997
2016-01-02 21:00:00,1984
2016-01-02 22:00:00,1942
2016-01-02 23:00:00,1875
2016-01-03 00:00:00,1798
2016-01-03 01:00:00,1733
2016-01-03 02:00:00,1683
2016-01-03 03:00:00,1660
2016-01-03 04:00:00,1651
2016-01-03 05:00:00,1655
2016-01-03 06:00:00,1683
2016-01-03 07:00:00,1729
2016-01-03 08:00:00,1809
2016-01-03 09:00:00,1850
2016-01-03 10:00:00,1925
2016-01-03 11:00:00,1951
2016-01-03 12:00:00,1955
2016-01-03 13:00:00,1963
2016-01-03 14:00:00,1934
2016-01-03 15:00:00,1925
2016-01-03 16:00:00,1955
2016-01-03 17:00:00,2010
2016-01-03 18:00:00,2136
2016-01-03 19:00:00,2182
2016-01-03 20:00:00,2159
2016-01-03 21:00:00,2133
2016-01-03 22:00:00,2045
2016-01-03 23:00:00,1952
2016-01-04 00:00:00,1897
2016-01-04 01:00:00,1837
2016-01-04 02:00:00,1807
2016-01-04 03:00:00,1800
2016-01-04 04:00:00,1812
2016-01-04 05:00:00,1862
2016-01-04 06:00:00,1997
2016-01-04 07:00:00,2204
2016-01-04 08:00:00,2346
2016-01-04 09:00:00,2355
2016-01-04 10:00:00,2340
2016-01-04 11:00:00,2334
2016-01-04 12:00:00,2315
2016-01-04 13:00:00,2325
2016-01-04 14:00:00,2336
2016-01-04 15:00:00,2311
2016-01-04 16:00:00,2298
2016-01-04 17:00:00,2323
2016-01-04 18:00:00,2432
2016-01-04 19:00:00,2513
2016-01-04 20:00:00,2502
2016-01-04 21:00:00,2478
2016-01-04 22:00:00,2418
2016-01-04 23:00:00,2294
2016-01-05 00:00:00,2185
2016-01-05 01:00:00,2124
2016-01-05 02:00:00,2090
2016-01-05 03:00:00,2063
2016-01-05 04:00:00,2086
2016-01-05 05:00:00,2141
2016-01-05 06:00:00,2272
2016-01-05 07:00:00,2484
2016-01-05 08:00:00,2607
2016-01-05 09:00:00,2578
2016-01-05 10:00:00,2532
2016-01-05 11:00:00,2482
2016-01-05 12:00:00,2405
2016-01-05 13:00:00,2359
2016-01-05 14:00:00,2307
2016-01-05 15:00:00,2260
2016-01-05 16:00:00,2215
2016-01-05 17:00:00,2250
2016-01-05 18:00:00,2384
2016-01-05 19:00:00,2497
2016-01-05 20:00:00,2498
2016-01-05 21:00:00,2466
2016-01-05 22:00:00,2392
2016-01-05 23:00:00,2279
2016-01-06 00:00:00,2167
2016-01-06 01:00:00,2103
2016-01-06 02:00:00,2056
2016-01-06 03:00:00,2043
2016-01-06 04:00:00,2040
2016-01-06 05:00:00,2097
2016-01-06 06:00:00,2222
2016-01-06 07:00:00,2441
2016-01-06 08:00:00,2559
2016-01-06 09:00:00,2508
2016-01-06 10:00:00,2473
2016-01-06 11:00:00,2420
2016-01-06 12:00:00,2357
2016-01-06 13:00:00,2292
2016-01-06 14:00:00,2250
2016-01-06 15:00:00,2198
2016-01-06 16:00:00,2159
2016-01-06 17:00:00,2184
2016-01-06 18:00:00,2308
2016-01-06 19:00:00,2399
2016-01-06 20:00:00,2390
2016-01-06 21:00:00,2351
2016-01-06 22:00:00,2287
2016-01-06 23:00:00,2176
2016-01-07 00:00:00,2065
2016-01-07 01:00:00,2009
